id_candidato;Candidato;tiktok_username;tiktok_followers;tiktok_fecha_captura;twitter_username;twitter_followers;twitter_fecha_captura;facebook_username;facebook_followers;facebook_fecha_captura
COL-66170-003;Roberto Jimenez Naranjo;robertojimenezof;1068.0;2026-06-15 21:40;robertoDdas23;38;2026-06-15 21:54;Robertojimenezdosquebradas;8700.0;2026-06-15 21:11
COL-76001-007;Roberto Ortiz Urueña;robertoortizcali;21826.0;2026-06-15 21:40;robertoortizu;34918;2026-06-15 21:54;robertoortizu;61000.0;2026-06-15 21:11
COL-05001-004;Rodolfo Andres Correa Vargas;rodolfocorreav;12037.0;2026-06-15 21:40;RodolfoCorreaV;14564;2026-06-15 21:54;RodolfoCorreaV7;;
COL-11001-003;Rodrigo Lara Restrepo;soyrodrigolara;17809.0;2026-06-15 21:40;Rodrigo_Lara_;183081;2026-06-15 21:54;RodrigoLaraR;29000.0;2026-06-15 21:11
COL-50001-008;Mario Alberto Romero Arismendy;elmarioromero;1919.0;2026-06-15 21:40;romeromario87;5267;2026-06-15 21:54;elmarioromero;14000.0;2026-06-15 21:11
COL-05151-002;Rosa Maria Acevedo Jaramillo;rosaacevedoj;7046.0;2026-06-15 21:40;RosaAcevedoJ;7299;2026-06-15 21:54;RosaAcevedoJ;27000.0;2026-06-15 21:11
COL-68276-010;Sergio Eduardo Flechas Moreno;sergioflechas;1127.0;2026-06-15 21:40;sergioflechas;876;2026-06-15 21:54;SergioFlechas10;3200.0;2026-06-15 21:11
COL-54001-012;Sergio Andres Maldonado Huertas;sergiomaldonadoh;1445.0;2026-06-15 21:40;sergiomaldoh;3936;2026-06-15 21:54;SergioMaldonadoH;5000.0;2026-06-15 21:11
COL-68001-001;Jaime Andres Beltran Martinez;soyjaimeandres;178127.0;2026-06-15 21:40;soyjaimeandres;33797;2026-06-15 21:54;soyjaimeandres;218000.0;2026-06-15 21:11
COL-54001-013;Jose Leonardo Jacome Carrascal;soyleojacome1;7376.0;2026-06-15 21:40;Soyleojacome_;2736;2026-06-15 21:54;leo.jacome.3532;;
COL-63001-003;Stefany Gomez Murillo;stefanygomezarmenia;2805.0;2026-06-15 21:40;StefanyGomezArm;676;2026-06-15 21:54;stefanygomezarmenia;12000.0;2026-06-15 21:11
COL-66001-007;Reynaldo Steven Cardenas Espinosa;stevencardenas1;2.0;2026-06-15 21:40;Steven_Cardenas;2681;2026-06-15 21:54;stevencardenasconcejal;13000.0;2026-06-15 21:11
COL-66170-005;Tatiana Lopez Saldarriaga;tatianalopezsaldarriaga;8952.0;2026-06-15 21:40;TatianaLopSal;3060;2026-06-15 21:54;TatianaLopezSaldarriagaA;15000.0;2026-06-15 21:11
COL-05001-014;Gilberto Tobon Sanin;profegtobonsanin;14282.0;2026-06-15 21:40;tobonsanin;572804;2026-06-15 21:54;tobonsanin;165000.0;2026-06-15 21:11
COL-15001-001;Vicente Anibal Ojeda Martinez;vicenteaojeda;1557.0;2026-06-15 21:40;vicenteaojeda;2738;2026-06-15 21:54;vaojeda;8200.0;2026-06-15 21:11
COL-76520-007;Victor Manuel Ramos Vergara;victorramospal;30818.0;2026-06-15 21:40;victorramospal;1254;2026-06-15 21:54;victorramospal;57000.0;2026-06-15 21:11
